OpenJDK 64-Bit Server VM (25.202-b05) for bsd-amd64 JRE (Zulu 8.36.0.1-CA-macosx) (1.8.0_202-b05), built on Jan 29 2019 06:07:09 by "zulu_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(3852976k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
Heap
 PSYoungGen      total 76288K, used 34353K [0x000000076ab00000, 0x0000000770000000, 0x00000007c0000000)
  eden space 65536K, 52% used [0x000000076ab00000,0x000000076cc8c4e8,0x000000076eb00000)
  from space 10752K, 0% used [0x000000076f580000,0x000000076f580000,0x0000000770000000)
  to   space 10752K, 0% used [0x000000076eb00000,0x000000076eb00000,0x000000076f580000)
 ParOldGen       total 175104K, used 0K [0x00000006c0000000, 0x00000006cab00000, 0x000000076ab00000)
  object space 175104K, 0% used [0x00000006c0000000,0x00000006c0000000,0x00000006cab00000)
 Metaspace       used 7657K, capacity 8005K, committed 8192K, reserved 1056768K
  class space    used 852K, capacity 948K, committed 1024K, reserved 1048576K
11.752: [GC (Allocation Failure) [PSYoungGen: 166464K->64K(161280K)] 168184K->1784K(336384K), 0.0005080 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.804: [GC (Allocation Failure) [PSYoungGen: 160832K->96K(155648K)] 162552K->1816K(330752K), 0.0005061 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.854: [GC (Allocation Failure) [PSYoungGen: 155232K->32K(150528K)] 156952K->1752K(325632K), 0.0005176 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.903: [GC (Allocation Failure) [PSYoungGen: 150048K->64K(145408K)] 151768K->1784K(320512K), 0.0005387 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.950: [GC (Allocation Failure) [PSYoungGen: 144960K->64K(174592K)] 146680K->1784K(349696K), 0.0009422 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.006: [GC (Allocation Failure) [PSYoungGen: 174144K->64K(209408K)] 175864K->1784K(384512K), 0.0011321 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.083: [GC (Allocation Failure) [PSYoungGen: 208960K->64K(251392K)] 210680K->1784K(426496K), 0.0005034 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.163: [GC (Allocation Failure) [PSYoungGen: 250944K->96K(241664K)] 252664K->1824K(416768K), 0.0005039 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.241: [GC (Allocation Failure) [PSYoungGen: 241248K->32K(232448K)] 242976K->1760K(407552K), 0.0005280 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.316: [GC (Allocation Failure) [PSYoungGen: 231968K->32K(223744K)] 233696K->1760K(398848K), 0.0005089 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
